module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
888,10,2,10,3,4,\N,0.100000,0.000000,0.200000,0.000000,0.100000,0.000000,0.100000,0.500000,0.50000000000000000000,0.32693994601889338731,0.50000000000000000000
891,15,4,15,3,40,0.881291,0.066667,0.000000,0.133333,0.000000,0.133333,0.066667,0.066667,0.533333,0.66670000000000000000,0.30714915320178478073,0.45000000000000000000
894,16,5,15,4,174,0.356648,0.125000,0.062500,0.062500,0.000000,0.125000,0.000000,0.125000,0.500000,0.50000000000000000000,0.27087087087087087087,0.28160919540229885057
895,56,25,55,26,1463,0.483298,0.000000,0.000000,0.035714,0.000000,0.035714,0.035714,0.017857,0.875000,0.65850000000000000000,0.36323768772372914574,0.51742993848257006152
896,57,27,55,26,4253,0.325748,0.017544,0.000000,0.035088,0.000000,0.000000,0.052632,0.017544,0.877193,0.68930000000000000000,0.40256916861506847997,0.56571831648248295321
897,23,8,22,7,161,0.927009,0.000000,0.000000,0.043478,0.000000,0.130435,0.000000,0.000000,0.826087,0.82860000000000000000,0.34664733414733414733,0.37888198757763975155
898,2,1,2,1,1137,0.966182,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,1.00000000000000000000,0.66666666666666666667,1.00000000000000000000
899,16,7,15,5,181,0.846066,0.062500,0.062500,0.187500,0.000000,0.062500,0.000000,0.187500,0.437500,0.50000000000000000000,0.21388888888888888889,0.57458563535911602210
900,55,26,52,25,8722,0.058721,0.018182,0.000000,0.036364,0.000000,0.000000,0.018182,0.018182,0.909091,0.71040000000000000000,0.43535529415046754717,0.68493464801650997478
902,36,12,32,12,422,0.625623,0.083333,0.000000,0.111111,0.000000,0.000000,0.027778,0.027778,0.750000,0.44850000000000000000,0.27130459309030737602,0.49289099526066350711
903,7,2,7,2,284,0.863058,0.142857,0.000000,0.142857,0.000000,0.142857,0.000000,0.285714,0.285714,0.83330000000000000000,0.36095238095238095238,0.51056338028169014085
904,14,3,14,3,266,0.717775,0.071429,0.000000,0.071429,0.071429,0.000000,0.071429,0.142857,0.571429,0.70000000000000000000,0.34618818681318681319,0.81203007518796992481
905,6,1,5,2,1688,0.647397,0.166667,0.000000,0.000000,0.166667,0.000000,0.000000,0.166667,0.500000,0.75000000000000000000,0.64102564102564102564,1.00000000000000000000
906,14,5,14,4,793,0.410636,0.071429,0.071429,0.071429,0.071429,0.071429,0.142857,0.071429,0.428571,0.63640000000000000000,0.35701058201058201058,0.71248423707440100883
907,14,5,14,4,99,0.503258,0.142857,0.000000,0.142857,0.000000,0.071429,0.071429,0.142857,0.428571,0.28570000000000000000,0.22857142857142857143,0.60606060606060606061
908,18,4,18,4,162,0.918296,0.111111,0.000000,0.111111,0.000000,0.055556,0.055556,0.055556,0.611111,0.33330000000000000000,0.23333333333333333333,0.32098765432098765432
909,11,3,11,3,88,\N,0.181818,0.000000,0.090909,0.000000,0.090909,0.000000,0.272727,0.363636,0.40000000000000000000,0.23000000000000000000,0.79545454545454545455
910,46,19,44,20,4940,0.091744,0.021739,0.000000,0.043478,0.000000,0.021739,0.043478,0.000000,0.869565,0.62400000000000000000,0.37501765713749298368,0.62186234817813765182
914,36,13,33,16,483,0.277032,0.027778,0.000000,0.055556,0.000000,0.027778,0.027778,0.000000,0.861111,0.77650000000000000000,0.56498474097284341285,0.62939958592132505176
915,5,3,4,2,54,0.756201,0.200000,0.000000,0.200000,0.000000,0.200000,0.200000,0.200000,0.000000,0.75000000000000000000,0.55555555555555555556,0.77777777777777777778
917,11,1,11,1,1047,0.974570,0.000000,0.000000,0.090909,0.000000,0.090909,0.000000,0.454545,0.363636,1.00000000000000000000,0.25925925925925925926,1.00000000000000000000
919,28,13,26,11,2590,0.447489,0.071429,0.000000,0.035714,0.000000,0.035714,0.035714,0.000000,0.821429,0.60870000000000000000,0.32849613893731540790,0.41081081081081081081
920,62,27,60,27,9513,0.014973,0.016129,0.000000,0.032258,0.000000,0.000000,0.016129,0.016129,0.919355,0.72820000000000000000,0.42626433366898522932,0.69157994323557237465
921,4,1,4,1,64,0.968804,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.250000,1.00000000000000000000,0.46875000000000000000,1.00000000000000000000
922,10,4,8,4,229,0.749158,0.200000,0.100000,0.100000,0.000000,0.000000,0.100000,0.300000,0.200000,0.50000000000000000000,0.27714285714285714286,0.57205240174672489083
923,6,3,4,3,42,\N,0.166667,0.166667,0.166667,0.000000,0.000000,0.166667,0.333333,0.000000,0.33330000000000000000,0.35947712418300653595,0.42857142857142857143
924,9,3,9,3,702,0.699453,0.000000,0.000000,0.333333,0.000000,0.111111,0.111111,0.111111,0.333333,0.50000000000000000000,0.38752530364372469636,0.75925925925925925926
925,4,1,4,1,6,\N,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,1.00000000000000000000,0.36666666666666666667,1.00000000000000000000
926,4,2,4,2,8,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.75000000000000000000,0.57777777777777777778,0.75000000000000000000
