module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
383,5,3,5,3,24,0.248575,0,0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,0.200000,0.200000,0.50000000000000000000,0.32579185520361990950,0.91666666666666666667,FALSE
384,7,3,7,3,147,0.899997,3307,0.142857,0.000000,0.285714,0.000000,0.142857,0.000000,0.428571,0.000000,0.60000000000000000000,0.32000000000000000000,0.91836734693877551020,TRUE
385,2,1,2,1,200,0.439532,550,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.57142857142857142857,1.00000000000000000000,FALSE
386,18,7,15,7,3530,0.861476,268,0.055556,0.000000,0.111111,0.000000,0.000000,0.000000,0.055556,0.777778,0.50000000000000000000,0.34012781746688034368,0.93427762039660056657,TRUE
387,7,3,6,4,2932,0.657150,221,0.142857,0.000000,0.285714,0.142857,0.000000,0.000000,0.142857,0.285714,0.66670000000000000000,0.49418596706975473116,0.99045020463847203274,TRUE
388,14,6,14,6,608,0.681564,55,0.142857,0.071429,0.142857,0.071429,0.000000,0.000000,0.071429,0.500000,0.33330000000000000000,0.28665172047524988701,0.70394736842105263158,TRUE
389,17,8,15,6,774,0.643705,135,0.176471,0.000000,0.058824,0.117647,0.000000,0.000000,0.000000,0.647059,0.37500000000000000000,0.33139829086992602009,0.81266149870801033592,TRUE
396,27,11,27,9,22438,0.598912,0,0.074074,0.000000,0.000000,0.000000,0.000000,0.037037,0.074074,0.814815,0.65220000000000000000,0.29746532092281398671,0.32979766467599607808,TRUE
398,9,4,9,2,192,,95,0.000000,0.000000,0.222222,0.000000,0.222222,0.000000,0.333333,0.222222,0.75000000000000000000,0.35385954135954135954,0.49479166666666666667,TRUE
399,11,4,11,3,212,0.999498,59,0.000000,0.000000,0.272727,0.000000,0.090909,0.000000,0.272727,0.363636,0.66670000000000000000,0.31229524979524979525,0.93867924528301886792,TRUE
400,5,1,4,2,4,0.811278,159,0.000000,0.000000,0.200000,0.200000,0.200000,0.000000,0.400000,0.000000,0.50000000000000000000,0.41176470588235294118,1.00000000000000000000,TRUE
401,18,6,18,5,86,0.926798,96,0.055556,0.000000,0.111111,0.111111,0.055556,0.000000,0.166667,0.500000,0.44440000000000000000,0.23076923076923076923,0.80232558139534883721,TRUE
402,57,28,55,27,10865,0.243099,36,0.017544,0.000000,0.035088,0.000000,0.000000,0.052632,0.017544,0.877193,0.69250000000000000000,0.42000340886656729734,0.59272894615738610216,TRUE
403,15,7,15,5,312,0.617753,109,0.266667,0.066667,0.000000,0.000000,0.133333,0.000000,0.266667,0.266667,0.44440000000000000000,0.19899933657673595754,0.27564102564102564103,TRUE
404,61,29,59,29,12814,0.108135,42,0.016393,0.000000,0.032787,0.000000,0.000000,0.016393,0.016393,0.918033,0.67460000000000000000,0.37612661457514841309,0.66419541126892461370,TRUE
405,53,26,51,26,1500,0.383238,23,0.037736,0.000000,0.018868,0.000000,0.000000,0.056604,0.018868,0.867925,0.71190000000000000000,0.43033631008789236394,0.50666666666666666667,TRUE
