module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1701,3,1,3,1,929,0.974607,89,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,FALSE
1702,3,0,3,1,0,,0,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.50000000000000000000,0.00000000000000000000,FALSE
1703,3,1,3,1,153,0.897427,91,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,FALSE
1704,3,1,3,1,158,0.547990,20,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,FALSE
1705,10,3,10,3,6225,0.731113,0,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.300000,0.40000000000000000000,0.30000000000000000000,0.40000000000000000000,FALSE
1706,10,3,10,3,635,0.775428,0,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.300000,0.40000000000000000000,0.30000000000000000000,0.40000000000000000000,FALSE
1707,10,3,10,3,1115,0.995804,0,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.300000,0.40000000000000000000,0.30000000000000000000,0.40000000000000000000,FALSE
1708,10,3,10,3,6065,0.842644,0,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.300000,0.40000000000000000000,0.30000000000000000000,0.40000000000000000000,FALSE
1709,13,9,11,8,128,0.991353,0,0.230769,0.153846,0.230769,0.000000,0.076923,0.000000,0.076923,0.230769,0.27270000000000000000,0.16666666666666666667,0.55468750000000000000,FALSE
1710,3,1,3,1,11,,11,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,FALSE
